Molecule Name,Total Molweight,Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Mutagenic,Tumorigenic,Reproductive Effective,Irritant,Rotatable Bonds,Ligand,Binding Affinity,Extracted_ZINC,Is_Correct_Alignment
ZINC30878706,344.45,344.45,-0.5447,-1.084,7,2,274.48,0.25922,80.26,5.3943,none,none,none,none,11,hur_model_ZINC30878706_uff_E=1595.27,-5.2,ZINC30878706,True
ZINC20465200,280.367,280.367,-6.3064,-1.313,5,4,219.83,0.31056,81.77,-2.4242,none,none,none,none,3,hur_model_ZINC20465200_uff_E=505.76,-6.5,ZINC20465200,True
ZINC20465202,320.388,320.388,-0.6177,-1.511,6,3,239.53,0.26823,82.03,4.5313,none,none,none,none,4,hur_model_ZINC20465202_uff_E=499.64,-6.5,ZINC20465202,True
ZINC20465204,350.413,350.413,-1.1165,-1.132,7,3,263.29,0.28201,91.26,4.0754,none,none,none,none,6,hur_model_ZINC20465204_uff_E=577.76,-7.0,ZINC20465204,True
ZINC35415859,371.571,371.571,2.578,-3.212,4,1,286.86,0.18682,73.87,4.7658,none,none,none,none,6,hur_model_ZINC35415859_uff_E=752.82,-7.2,ZINC35415859,True
ZINC30878715,373.495,373.495,1.2139,-2.656,6,2,286.52,0.19091,65.04,8.8418,none,none,none,none,6,hur_model_ZINC30878715_uff_E=1635.90,-7.3,ZINC30878715,True
ZINC20465210,391.466,391.466,-0.6532,-1.395,8,3,289.11,0.2691,94.5,3.9545,none,none,none,none,4,hur_model_ZINC20465210_uff_E=636.40,-6.9,ZINC20465210,True
ZINC35415865,395.569,395.569,2.4516,-3.537,5,1,311.39,0.15203,58.77,-1.8762,none,none,none,none,6,hur_model_ZINC35415865_uff_E=729.06,-7.1,ZINC35415865,True
ZINC35415866,389.521,389.521,2.1193,-3.234,5,1,303.35,0.15606,58.77,3.1633,none,none,none,none,6,hur_model_ZINC35415866_uff_E=786.10,-7.6,ZINC35415866,True
ZINC35415868,414.531,414.531,1.9549,-4.007,6,1,325.06,0.18735,82.56,-1.1167,none,none,none,none,6,hur_model_ZINC35415868_uff_E=839.32,-8.2,ZINC35415868,True
ZINC20465212,372.42,372.42,0.0148,-2.363,7,3,276.72,0.28317,95.17,4.4379,none,none,none,none,5,hur_model_ZINC20465212_uff_E=746.41,-7.9,ZINC20465212,True
ZINC20465214,388.487,388.487,0.6927,-2.691,6,3,282.97,0.29901,110.27,5.9705,none,none,none,none,5,hur_model_ZINC20465214_uff_E=761.57,-7.7,ZINC20465214,True
ZINC30878734,405.537,405.537,1.3798,-2.588,7,2,319.28,0.20264,74.27,9.0536,none,none,none,none,7,hur_model_ZINC30878734_uff_E=457.64,-6.5,ZINC30878734,True
ZINC20465217,382.458,382.458,0.8261,-2.681,6,3,287.03,0.22384,82.03,3.9208,none,none,none,none,5,hur_model_ZINC20465217_uff_E=569.60,-7.7,ZINC20465217,True
